old_path,new_path,capture_timestamp,capture_date,camera_slug,make,model,width,height
IMG_0044 2.JPG,mkjr_20190625_canon-eos-7d_001.jpg,2019-06-25 02:42:32 +0000,20190625,canon-eos-7d,Canon,Canon EOS 7D,3888,2592
IMG_0171 2.JPG,mkjr_20190625_canon-eos-7d_002.jpg,2019-06-25 09:34:05 +0000,20190625,canon-eos-7d,Canon,Canon EOS 7D,3888,2592
IMG_0198 2.JPG,mkjr_20190707_canon-eos-7d_001.jpg,2019-07-07 07:02:42 +0000,20190707,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
IMG_1147 2.jpg,mkjr_20211105_iphone-12-pro_001.jpg,2021-11-05 09:53:35 +0000,20211105,iphone-12-pro,Apple,iPhone 12 Pro,2667,3805
public/to sort/00A24DC7-D931-4D5C-AFA7-7923712F0C36.JPG,mkjr_20180313_canon-eos-7d_001.jpg,2018-03-13 11:37:38 +0000,20180313,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
public/to sort/07C32458-EA42-418A-858A-6CC57B68AF47.JPG,mkjr_20230623_canon-eos-7d_002.jpg,2023-06-23 11:17:31 +0000,20230623,canon-eos-7d,Canon,Canon EOS 7D,2306,3470
public/to sort/0918B72D-C344-4689-B183-9B2E857C48DA.JPG,mkjr_20230708_canon-eos-6d-mark-ii_001.jpg,2023-07-08 17:10:14 +0000,20230708,canon-eos-6d-mark-ii,Canon,Canon EOS 6D Mark II,4160,6240
public/to sort/0BE8460A-E868-4E50-92E9-9500B6BD7D94.JPG,mkjr_20190201_canon-eos-6d_003.jpg,2019-02-01 06:28:43 +0000,20190201,canon-eos-6d,Canon,Canon EOS 6D,5472,3648
public/to sort/0E369BB1-80CF-473F-9792-356E120DF1EF.JPG,mkjr_20230620_canon-eos-7d_001.jpg,2023-06-20 15:54:33 +0000,20230620,canon-eos-7d,Canon,Canon EOS 7D,2326,3499
public/to sort/104D1D88-C7C5-4E74-A309-1C2275B8E4DD.JPG,mkjr_20241005_sony-ilce-7cm2_001.jpg,2024-10-05 08:51:24 +0000,20241005,sony-ilce-7cm2,SONY,ILCE-7CM2,4263,6400
public/to sort/1DBF35F2-1893-4CEC-8A08-C01D77E04D12.JPG,mkjr_20180315_canon-eos-7d_002.jpg,2018-03-15 12:20:38 +0000,20180315,canon-eos-7d,Canon,Canon EOS 7D,2592,3888
public/to sort/21E3BC4D-412A-482A-BFF3-040FDFD9740F.JPG,mkjr_20241114_sony-ilce-7cm2_001.jpg,2024-11-14 21:33:31 +0000,20241114,sony-ilce-7cm2,SONY,ILCE-7CM2,4267,6407
public/to sort/221865C0-2FC4-4222-8D05-FFCF80E7D4BD.JPG,mkjr_20231225_sony-ilce-7cm2_001.jpg,2023-12-25 10:50:16 +0000,20231225,sony-ilce-7cm2,SONY,ILCE-7CM2,4482,6730
public/to sort/271F89B9-4BFB-42C0-9238-A2979018174B.JPG,mkjr_20231111_sony-ilce-7cm2_001.jpg,2023-11-11 14:28:43 +0000,20231111,sony-ilce-7cm2,SONY,ILCE-7CM2,3072,4608
public/to sort/2D0BBC34-3DE7-4ADB-B4EE-E20C244C3DF3.JPG,mkjr_20180315_canon-eos-7d_001.jpg,2018-03-15 09:55:58 +0000,20180315,canon-eos-7d,Canon,Canon EOS 7D,2243,3456
public/to sort/2E2BE185-384B-4021-83B9-5259890D53A0.JPG,mkjr_20230315_noritsu-scan_002.jpg,2023-03-15 14:00:21 +0000,20230315,noritsu-scan,NORITSU KOKI,EZ Controller,4492,6774
public/to sort/2E5B29CA-8C12-43A6-9A55-00790B963F3C.JPG,mkjr_20250315_sony-ilce-7cm2_001.jpg,2025-03-15 16:43:04 +0000,20250315,sony-ilce-7cm2,SONY,ILCE-7CM2,4136,6210
public/to sort/36D038A5-F751-4CA4-8F25-DDDA8CC55215.JPG,mkjr_20231014_sony-ilce-7cm2_001.jpg,2023-10-14 15:30:23 +0000,20231014,sony-ilce-7cm2,SONY,ILCE-7CM2,1080,1616
public/to sort/378BBFBC-C215-4DDD-9A52-F79C1E47FF61.JPG,mkjr_20190201_canon-eos-6d_002.jpg,2019-02-01 02:36:01 +0000,20190201,canon-eos-6d,Canon,Canon EOS 6D,3644,5472
public/to sort/384BC904-093C-4D20-8BFD-D1B2DF72F736.JPG,mkjr_20230619_canon-eos-7d_001.jpg,2023-06-19 08:48:07 +0000,20230619,canon-eos-7d,Canon,Canon EOS 7D,2285,3438
public/to sort/38C79E63-A116-4583-B4CE-D710AB8F87A8.JPG,mkjr_20231108_sony-ilce-7cm2_001.jpg,2023-11-08 17:18:46 +0000,20231108,sony-ilce-7cm2,SONY,ILCE-7CM2,3072,4608
public/to sort/5FC05B0D-F6A6-4550-82CB-810E7D139F12.JPG,mkjr_20241227_sony-ilce-7cm2_001.jpg,2024-12-27 11:46:47 +0000,20241227,sony-ilce-7cm2,SONY,ILCE-7CM2,3920,5885
public/to sort/649BF788-3F28-4515-9B2F-980EB1600718.JPG,mkjr_20190201_canon-eos-6d_001.jpg,2019-02-01 02:01:15 +0000,20190201,canon-eos-6d,Canon,Canon EOS 6D,4946,3157
public/to sort/68071115-14A1-4A58-AEC5-00FE4025417C.JPG,mkjr_20190202_canon-eos-6d_001.jpg,2019-02-02 02:03:22 +0000,20190202,canon-eos-6d,Canon,Canon EOS 6D,3288,4910
public/to sort/6BA43621-7F05-4537-8DA9-9BD8F141FB10.JPG,mkjr_20230706_canon-eos-6d-mark-ii_001.jpg,2023-07-06 17:24:48 +0000,20230706,canon-eos-6d-mark-ii,Canon,Canon EOS 6D Mark II,4160,6240
public/to sort/8DE5E2B6-42E9-443A-8EDB-69C9F5C1C25D.JPG,mkjr_20231113_sony-ilce-7cm2_002.jpg,2023-11-13 12:25:15 +0000,20231113,sony-ilce-7cm2,SONY,ILCE-7CM2,2723,4088
public/to sort/8FCE85BC-EA7F-4A54-A980-74956C7CE179.JPG,mkjr_20231109_sony-ilce-7cm2_005.jpg,2023-11-09 11:40:00 +0000,20231109,sony-ilce-7cm2,SONY,ILCE-7CM2,3072,4608
